"expt_id","well_ID","sample","background","rep_ID","condition","control","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","maxgr","dtime","ltime"
"2303_21","A10","YBR CRSPR (YARC492)","BY4741",1,"1ug/ml Tunicamycin (pH 7.5)","",1.8103341632916,5.02311638694273e-05,0.00374462231353511,2801.98048099451,185.104697489659,2830.96045751912,2947.5,0.0672593719358933,0.00242017653562695,286.403562036182,2001.34652077594
"2303_21","A11","BY4741","BY4741",2,"1ug/ml Tunicamycin (pH 7.5)","yes",1.81659514410497,2.91441015697751e-05,0.00404261797002994,2730.95454496066,171.459976109197,2968.99916709055,3039.9075,0.0515528044583653,0.00401544642098978,172.620204054195,2042.62900033764
"2303_21","A2","YBR CRSPR (YARC492)","BY4741",1,"YPDA (pH 7.5)","",1.91988867133698,0.00196029269779853,0.00959716699938408,717.493726616816,72.2241449590728,7002.60161114023,7010.775,0.0201215400661642,0.00477737920662767,145.089420491959,273.201051140527
"2303_21","A3","BY4741","BY4741",2,"YPDA (pH 7.5)","yes",1.93082303228652,0.00332582681813876,0.00919954812082528,691.583897572911,75.3457856251491,7092.35458534389,7096.545,0.0173371293048026,0.0046695236175165,148.440662760497,227.636188025505
"2303_21","A4","YBR CRSPR (YARC492)","BY4741",2,"YPDA (pH 7.5)","",1.97064228226934,0.00244635749109192,0.00881603479029359,758.875458994516,78.6234624803315,7106.10383370674,7110.8775,0.0143267237017856,0.00443230786180008,156.385161449151,275.064672843762
"2303_21","A5","BY4741","BY4741",1,"DMSO (pH 7.5)","yes",1.94123371177879,0.0111172670216462,0.00893929629146905,576.872715572728,77.5393451519702,7352.39317418133,7350.2775,0.0116035455014464,0.00518565259276538,133.666335752413,150.280465440987
"2303_21","A6","YBR CRSPR (YARC492)","BY4741",1,"DMSO (pH 7.5)","",1.91231273538044,0.00664083836403761,0.00912924300178283,619.914675395794,75.9260302770539,7161.04567051189,7160.445,0.0166923142082888,0.00512197575598249,135.328086969241,199.074651657722
"2303_21","A7","BY4741","BY4741",2,"DMSO (pH 7.5)","yes",1.89210207322489,0.00531391841588114,0.00914091188770226,642.419689748959,75.8291064475167,7042.91977141133,7042.6575,0.0199141917996268,0.00501729128120481,138.151672229303,218.847058935315
"2303_21","A8","YBR CRSPR (YARC492)","BY4741",2,"DMSO (pH 7.5)","",1.93298494576961,0.00858771086508022,0.00888771703106527,608.934312592746,77.9893394599744,7259.45003148135,7259.085,0.0133890750714662,0.00500099320642399,138.601904051693,168.546480824049
"2303_21","A9","BY4741","BY4741",1,"1ug/ml Tunicamycin (pH 7.5)","yes",1.85656834726064,7.43754355692497e-05,0.00359439187561449,2816.9089336028,192.84129403432,2876.09154175242,2945.7,0.0613842017550395,0.0129102729786939,53.6895836132869,2224.30536870859
"2303_21","B1","BY4742","BY4742",1,"YPDA (pH 7.5)","yes",1.8741411746601,0.00127238074825803,0.00963940140845928,756.720940344726,71.9076995747535,6762.29231261831,6771.375,0.0216298966907996,0.00473574660551772,146.364921584348,309.479723844321
"2303_21","B10","YBR CRSPR (YARC493)","BY4741",1,"1ug/ml Tunicamycin (pH 7.5)","",1.82398600719907,6.53854308386999e-06,0.00445795433664169,2812.68399715774,155.485482402252,2831.80511332227,2944.1475,0.058413700793316,0.002330228122023,297.458937178299,1947.19739081161
"2303_21","B11","BY4742","BY4742",2,"1ug/ml Tunicamycin (pH 7.5)","yes",1.91386027346669,1.05432264856679e-05,0.00408888443752651,2961.47859095239,169.519875445355,2687.64533917657,2798.2125,0.0548644384254616,0.00218203826056149,317.660415533494,2001.09043291111
"2303_21","B12","YBR CRSPR (YARC493)","BY4741",2,"1ug/ml Tunicamycin (pH 7.5)","",1.83983629790187,3.31197431476933e-05,0.00384324524485986,2842.66001390331,180.354657691177,2802.2234312597,2927.1375,0.0694010966357972,0.00481294238663318,144.017344251824,2368.02088374558
"2303_21","B2","YBR CRSPR (YARC493)","BY4741",1,"YPDA (pH 7.5)","",1.95400126557512,0.0032804976949818,0.00897353050103372,711.866868889709,77.2435309023686,7137.86087936869,7145.1225,0.0260702861796787,0.00443999987395297,156.114234287766,217.954605469801
"2303_21","B3","BY4742","BY4742",2,"YPDA (pH 7.5)","yes",1.89241088646508,0.00220595642981063,0.00916750769191407,736.653798158457,75.6091190598417,6866.08108415627,6874.4475,0.023279504824652,0.00439159504485142,157.834949142811,248.61958030451
"2303_21","B4","YBR CRSPR (YARC493)","BY4741",2,"YPDA (pH 7.5)","",1.94478018524143,0.00621844869553335,0.00876583058016118,655.064124488593,79.0737596650197,7214.29924623165,7211.3625,0.0186751840216322,0.00517770149887966,133.871599339963,224.083239013923
"2303_21","B5","BY4742","BY4742",1,"DMSO (pH 7.5)","yes",1.91245277173189,0.00538244560654487,0.00895832710745993,655.276433623732,77.3746227666475,7094.06943823029,7097.3775,0.0168318084737173,0.00471083483198927,147.138926598122,189.630226486044
"2303_21","B6","YBR CRSPR (YARC493)","BY4741",1,"DMSO (pH 7.5)","",1.91906611111037,0.0185508647641423,0.00760797324738788,608.488457328405,91.1079939454218,7206.54379060318,7198.1775,0.0311635229540566,0.00484626772218858,143.027009710252,142.388560750731
"2303_21","B7","BY4742","BY4742",2,"DMSO (pH 7.5)","yes",1.87074522330048,0.00293492278761452,0.00928255709579985,695.480873356316,74.6720083061572,6864.4189535911,6867.045,0.0204091152740155,0.00500432171344708,138.509716251334,261.569113905812
"2303_21","B8","YBR CRSPR (YARC493)","BY4741",2,"DMSO (pH 7.5)","",1.9296471589273,0.00683917159058133,0.00881943290303439,639.369372181823,78.5931689917912,7188.3757125704,7187.4225,0.0223040916266285,0.00494254953497385,140.240816132481,191.039501324749
"2303_21","B9","BY4742","BY4742",1,"1ug/ml Tunicamycin (pH 7.5)","yes",1.83255363552735,1.95669279391192e-06,0.00487721883849513,2819.22232135125,142.119351932508,2832.91989695437,2933.145,0.0542845220814655,0.00254139894798514,272.742373293844,2024.39555806401
"2303_21","C1","DELHO::KAN (AARON PAPER)","BY4741",1,"YPDA (pH 7.5)","",1.92799200673054,0.00321543352526186,0.00887771157540144,720.298573190564,78.0772358589045,7026.59272374063,7031.475,0.0140723499937819,0.00453085830962828,152.983636475009,242.468961906694
"2303_21","C10","YDL204W-A AAG","BY4741",1,"1ug/ml Tunicamycin (pH 7.5)","",1.57635006775172,1.85494901099794e-06,0.00587360833287711,2324.42537706084,118.010453077047,3216.66130230918,3270.6225,0.0354363943668761,0.00305978612046627,226.534520149506,1688.00689880736
"2303_21","C11","DELHO::KAN (AARON PAPER)","BY4741",2,"1ug/ml Tunicamycin (pH 7.5)","",1.78929454296004,1.41354496981454e-05,0.0040913519304212,2871.57851112816,169.417638068741,2673.13740569648,2759.22,0.0574854169629709,0.0119237022596348,58.1318759448106,2257.19033755507
"2303_21","C12","YDL204W-A AAG","BY4741",2,"1ug/ml Tunicamycin (pH 7.5)","",1.54519738643672,1.04458814697256e-06,0.00632976324367246,2244.48187166275,109.506020032084,3276.6192664566,3320.685,0.0314046044308189,0.00310234120818935,223.427126174975,1630.53930101184
"2303_21","C2","YDL204W-A AAG","BY4741",1,"YPDA (pH 7.5)","",0.827857804513973,0.00334965451064222,0.00298932500909279,1841.86389924775,231.874144983085,2087.82186273727,2072.385,0.0277219645782062,0.00159000937378527,435.939052931367,861.628831231933
"2303_21","C3","DELHO::KAN (AARON PAPER)","BY4741",2,"YPDA (pH 7.5)","",1.95267933211764,0.00371156737595809,0.00922834948921776,678.734686695485,75.1106339622059,7197.69151535583,7199.2125,0.0175628692242273,0.00519403894991372,133.450516494771,258.29691989433
"2303_21","C4","YDL204W-A AAG","BY4741",2,"YPDA (pH 7.5)","",1.841425421035,0.00295621903027019,0.00631070685419864,1019.34341118052,109.83669445821,6160.30827148657,6163.2675,0.0302376093435751,0.00326596225894789,212.233677428728,364.407180770531
"2303_21","C5","DELHO::KAN (AARON PAPER)","BY4741",1,"DMSO (pH 7.5)","",1.95208667506524,0.00491945360021731,0.00838344435839829,713.421973744354,82.6804772510443,7127.60926158593,7131.285,0.0201983102482233,0.00435459650116748,159.175983440512,208.692431123547
"2303_21","C6","YDL204W-A AAG","BY4741",1,"DMSO (pH 7.5)","",1.90898633317636,0.00253390590731292,0.00669589873905645,989.148392927223,103.518169490362,6444.07590284364,6453.315,0.0312742566954119,0.00324778909231197,213.421241607325,323.899413549327
"2303_21","C7","DELHO::KAN (AARON PAPER)","BY4741",2,"DMSO (pH 7.5)","",1.92964972915029,0.0115039417148862,0.00898027118689161,569.74053697832,77.1855510969116,7322.23653720442,7320.3525,0.0199964919953402,0.00512070986108838,135.361541536864,135.752652885797
